species,lon,lat,oppc,n
fulanus_fulanus,-59.966667,-2.883333,1293,1088
fulanus_fulanus,-59.96666,2.88333,345,1088
fulanus_fulanus,-52.8731,-10.8339,2571,1088
fulanus_fulanus,-65.08583333,-4.14444444,1440,1088
fulanus_fulanus,-65.047222,-9.6,2309,1088
fulanus_fulanus,-64.458888,-9.2694444,2311,1088
fulanus_fulanus,-60,-7.25,2004,1088
fulanus_fulanus,-63.316667,0.816667,654,1088
fulanus_fulanus,-59.75,-2.416667,1214,1088
fulanus_fulanus,-59.716667,-2.4,1214,1088
fulanus_fulanus,-59.833333,-2.516667,1214,1088
fulanus_fulanus,-64.80419922,-3.220829964,1283,1088
fulanus_fulanus,-69.25969696,-8.838890076,2222,1088
fulanus_fulanus,-62.308611,-4.416917,1525,1088
fulanus_fulanus,-64.458889,-9.269444,2311,1088
fulanus_fulanus,-59.785556,-2.441667,1214,1088
fulanus_fulanus,-67.08920288,-0.130278006,804,1088
fulanus_fulanus,-50.71220016,-1.804440022,1153,1088
fulanus_fulanus,-59.916667,-2.95,1293,1088
fulanus_fulanus,-59.727778,-2.407222,1214,1088
fulanus_fulanus,-61.938611,-1.241547,973,1088
fulanus_fulanus,-63.3745909,0.9016571,654,1088
fulanus_fulanus,-59.6854736,-2.3153702,1214,1088
fulanus_fulanus,-60.0917441,-2.326638,1213,1088
fulanus_fulanus,-59.8885828,-2.4292245,1214,1088
fulanus_fulanus,-67.0891666,2.0830556,488,1088
fulanus_fulanus,-64.846944,-9.388889,2310,1088
fulanus_fulanus,-59.916667,-2.616667,1214,1088
fulanus_fulanus,-55.287667,-11.581667,2645,1088
fulanus_fulanus,-55.501667,-11.836667,2723,1088
fulanus_fulanus,-39.465833,-13.916111,3072,1088
fulanus_fulanus,-60.7139,5.06721,27,1088
fulanus_fulanus,-41.99722222,-12.18305556,2751,1088
fulanus_fulanus,-56.793333,-9.286111,2326,1088
fulanus_fulanus,-39.04940033,-14.78890038,3230,1088
fulanus_fulanus,-59.254167,0.737222,741,1088
fulanus_fulanus,-66.89579773,-4.882780075,1595,1088
fulanus_fulanus,-64.71140289,-3.354170084,1362,1088
fulanus_fulanus,-62.05690002,-3.836669922,1446,1088
fulanus_fulanus,-39.133333,-16.333333,3467,1088
fulanus_fulanus,-39.121944,-15.155278,3230,1088
fulanus_fulanus,-59.9016237,-3.1715397,1293,1088
fulanus_fulanus,-71.9616938,-4.6077301,1506,1088
fulanus_fulanus,-55.8661,-1.76556,1143,1088
fulanus_fulanus,-51.455,-1.7369,1073,1088
fulanus_fulanus,-56.4489985,-1.6942627,1063,1088
fulanus_fulanus,-57.0281,-1.1325,982,1088
fulanus_fulanus,-64.4,-3.55,1363,1088
fulanus_fulanus,-39.05,-14.9833333,3230,1088
fulanus_fulanus,-42.96749878,-21.45969963,4250,1088
fulanus_fulanus,-37.9794,-12.3739,2838,1088
fulanus_fulanus,-39.84280014,-14.28359985,3150,1088
fulanus_fulanus,-39.016667,-16.266667,3467,1088
fulanus_fulanus,-37.94499969,-11.79609966,2759,1088
fulanus_fulanus,-40.77583333,-19.51472222,3938,1088
fulanus_fulanus,-52.53,-5.64861111,1702,1088
fulanus_fulanus,-63.82860184,-10.21170044,2391,1088
fulanus_fulanus,-43.04059982,-22.65279961,4407,1088
fulanus_fulanus,-39.73220062,-18.59329987,3782,1088
fulanus_fulanus,-39.07529831,-15.29329967,3309,1088
fulanus_fulanus,-41.13470078,-20.3397007,4095,1088
fulanus_fulanus,-48.833056,-1.75,1157,1088
fulanus_fulanus,-51.966667,1.433333,598,1088
fulanus_fulanus,-38.99670029,-14.27750015,3152,1088
fulanus_fulanus,-46.13999939,-1.196670055,1004,1088
fulanus_fulanus,-48.76890182,-1.883890033,1157,1088
fulanus_fulanus,-46.844167,-1.126667,1003,1088
fulanus_fulanus,-46.750556,-1.101944,1003,1088
fulanus_fulanus,-50.82109833,-1.935559988,1153,1088
fulanus_fulanus,-51.75,-0.833333,993,1088
fulanus_fulanus,-58.933333,1.366667,584,1088
fulanus_fulanus,-39,-15.333333,3310,1088
fulanus_fulanus,-35.00249863,-7.560560226,2053,1088
fulanus_fulanus,-44.328889,-2.691667,1245,1088
fulanus_fulanus,-43.843611,-22.112222,4327,1088
fulanus_fulanus,-39.1345131,-13.9705727,3072,1088
fulanus_fulanus,-39.07,-14.7,3151,1088
fulanus_fulanus,-41.27703,-20.331291,4095,1088
fulanus_fulanus,-39.0666667,-15.1833333,3230,1088
fulanus_fulanus,-68.8725,-3.37833,1354,1088
fulanus_fulanus,-39.09027,-13.32888,2993,1088
